Region,City,ZipCode,Population,HouseholdSize,IncomeLevel,FoodType,DemandAmount,EmergencyStatus,SeasonalFactor,SupplyType,DistributionPriority
North Gerald,Lake Jessemouth,63671,437837,1,Low,Canned Goods,805,Economic,BackToSchool,Non-Perishable,Medium
Higginsberg,Johnbury,08835,237040,5,Low,Dry Goods,1000,Economic,Summer,Non-Perishable,High
Kimberlystad,Adriennefort,95782,249514,5,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Mooreland,Rogersberg,90494,755047,3,Medium,Dry Goods,1000,Health,Normal,Non-Perishable,Standard
Robertmouth,Rickyburgh,10659,918973,5,Low,Canned Goods,1000,Health,Normal,Non-Perishable,High
West Sierra,South James,93337,835326,6,High,Canned Goods,395,None,Normal,Non-Perishable,Standard
West Colinberg,East Todd,58687,428032,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Joshuaville,New Michael,60319,427003,6,Medium,Dry Goods,1000,Weather,Normal,Non-Perishable,Standard
New Ricky,New Benjaminland,03342,289318,6,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Rubiohaven,Stephaniehaven,94981,971883,3,Medium,Canned Goods,1000,None,Holiday,Non-Perishable,Standard
North Cory,Chelseabury,29294,957748,2,High,Fresh Produce,92,None,Normal,Perishable,Standard
East Robert,Gonzalezfurt,69111,661012,6,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Amandaton,East Jennifer,60353,276283,3,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
East Rachel,Travishaven,69164,271805,3,Low,Dry Goods,1000,None,Holiday,Non-Perishable,Medium
East Tiffany,Mendozaside,12338,260130,1,High,Dairy,502,Economic,Normal,Perishable,Standard
Russellborough,Ramireztown,26113,648524,5,High,Canned Goods,99,Weather,Normal,Non-Perishable,Standard
North Michael,Port Rebecca,38843,304180,1,Medium,Dry Goods,815,Weather,Summer,Non-Perishable,Standard
Nealfort,Grayfort,44167,967330,2,High,Dry Goods,263,None,Summer,Non-Perishable,Standard
South Joseph,Websterbury,58900,827395,1,High,Canned Goods,621,Weather,Holiday,Non-Perishable,Standard
Blakeville,Wyattside,58622,853697,5,Medium,Dairy,1000,None,Normal,Perishable,Standard
Woodbury,Simpsonborough,50660,338620,3,High,Dry Goods,633,None,Normal,Non-Perishable,Standard
Port Randyfurt,Jonathanmouth,71657,312854,4,Medium,Fresh Produce,1000,Weather,BackToSchool,Perishable,Standard
North Jared,Cruzmouth,82870,747685,3,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Martinhaven,Melissafurt,20248,619553,1,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Pinedamouth,Michaelchester,99635,943663,5,High,Canned Goods,186,None,Normal,Non-Perishable,Standard
Josephville,South Wendy,19643,394105,5,Medium,Canned Goods,976,Weather,BackToSchool,Non-Perishable,Standard
Websterland,West Caitlinview,13638,432287,1,Medium,Canned Goods,1000,None,BackToSchool,Non-Perishable,Standard
Rodrigueztown,Douglasmouth,19012,755608,5,High,Dairy,131,None,Normal,Perishable,Standard
Lisaton,Melodyport,39454,976335,1,Low,Dry Goods,1000,None,Summer,Non-Perishable,Medium
Philiptown,Laurastad,48292,450798,1,Medium,Canned Goods,944,None,Normal,Non-Perishable,Standard
Krausestad,Heatherstad,42279,894042,1,Low,Dairy,1000,None,Normal,Perishable,Medium
Randolphfort,Jessicaview,29540,930515,5,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Lewismouth,Lauramouth,51532,749859,2,Low,Meat/Poultry,1000,Weather,Holiday,Perishable,Medium
Edwardstown,Michaelport,31553,745137,2,Low,Dry Goods,1000,Weather,Normal,Non-Perishable,Medium
West Sabrina,Port Justinland,70174,690998,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
South Jon,Lake Aaron,49071,491753,3,Low,Fresh Produce,991,None,Normal,Perishable,Medium
West Donaldborough,Lake Sethborough,75541,249278,5,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Staceyview,Boydside,51908,995483,2,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
East Michaelport,New Vanessabury,86192,461569,6,High,Fresh Produce,1000,Health,Normal,Perishable,Standard
Robinfort,Aarontown,90346,434801,4,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
North Theresaland,North Kevin,14045,576800,5,Low,Fresh Produce,1000,None,Normal,Perishable,High
West Shannon,North Melindahaven,68419,386433,5,High,Canned Goods,1000,None,Summer,Non-Perishable,Standard
Scotttown,South Amandaview,10985,420658,5,Medium,Dairy,571,Economic,Normal,Perishable,Standard
Hopkinsstad,Lake Thomas,56705,416619,2,High,Dairy,1000,None,BackToSchool,Perishable,Standard
Donaldberg,Robertside,54142,711392,3,Medium,Canned Goods,1000,None,Summer,Non-Perishable,Standard
South Tylermouth,Lake Eric,39103,992887,2,Medium,Dairy,1000,None,Holiday,Perishable,Standard
Lake Lukeburgh,Wintersborough,36090,526086,1,Low,Canned Goods,1000,None,Holiday,Non-Perishable,Medium
Thorntonshire,Stewarthaven,58692,728266,1,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
New Danielfort,North Edward,06468,453775,2,Low,Canned Goods,607,None,Normal,Non-Perishable,Medium
North Linda,Lake Lisa,92543,239948,2,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
Kimfort,Lake Theresaton,39710,710260,3,Low,Dry Goods,1000,Health,Normal,Non-Perishable,Medium
West Teresa,North Colleen,30101,591424,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Jenniferchester,Williamview,93404,892553,3,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
Myersburgh,West Matthew,84691,943800,4,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
East Robertmouth,South Samanthaton,84469,202192,3,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Garciahaven,North Tiffanymouth,86840,618440,2,Low,Dairy,791,None,Summer,Perishable,Medium
Ashleybury,East Jamestown,17843,747664,2,Medium,Dry Goods,1000,None,Summer,Non-Perishable,Standard
New Katrina,South Mary,54461,641817,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Port Chadchester,Farmershire,79342,905849,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
Lake Erikstad,Kellytown,66193,323011,5,Low,Fresh Produce,1000,None,Normal,Perishable,High
Baileyburgh,Alexanderfort,20585,977787,6,High,Fresh Produce,1000,None,Normal,Perishable,Standard
South Jacobburgh,South Adamfort,50669,674201,3,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
Priceshire,North Jessica,35714,881443,1,Low,Dairy,1000,None,BackToSchool,Perishable,Medium
Garciaburgh,East Kimberly,92792,926124,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Anthonyfurt,Lake Shirley,86339,842280,3,Low,Dairy,1000,None,Summer,Perishable,Medium
Lake Jason,New Derrick,97682,337365,3,Low,Fresh Produce,1000,None,Normal,Perishable,Medium
New Cynthia,East Suechester,35923,383428,1,Low,Dry Goods,872,Weather,Normal,Non-Perishable,Medium
Brownhaven,Velezshire,69418,351962,6,Medium,Canned Goods,1000,None,Summer,Non-Perishable,Standard
Lake Jacquelineborough,North Christopher,82332,996393,5,High,Fresh Produce,1000,Economic,BackToSchool,Perishable,Standard
Kathrynbury,Lake Michaelbury,81001,327679,6,High,Fresh Produce,1000,None,BackToSchool,Perishable,Standard
North Michele,West Barbaraton,01582,504964,4,Low,Dry Goods,257,None,Normal,Non-Perishable,High
Mcgrathberg,North Amber,56188,514446,3,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
Port Kristin,East Christianberg,51281,705252,6,High,Fresh Produce,1000,Economic,Normal,Perishable,Standard
East Johnmouth,Port Diane,06339,215772,1,Low,Dry Goods,648,None,Holiday,Non-Perishable,Medium
Amberbury,West Jacobburgh,59251,281014,4,Low,Meat/Poultry,1000,None,Normal,Perishable,High
Chelseatown,Port Beth,40866,732434,5,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
South Kevin,Jonathanhaven,63512,863386,6,Medium,Meat/Poultry,1000,Weather,Normal,Perishable,Standard
Nicholaschester,West Jason,79882,208184,4,High,Dry Goods,1000,Weather,Summer,Non-Perishable,Standard
New Joanne,North Dustin,46735,263394,1,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Tuckerton,Hayleyfort,66953,694190,5,Low,Canned Goods,1000,Weather,Normal,Non-Perishable,High
Charlesfort,Lake Lisa,97158,465938,2,Medium,Dry Goods,344,None,Normal,Non-Perishable,Standard
South Amandaborough,South Elizabethbury,99809,417871,1,Medium,Meat/Poultry,1000,Health,Normal,Perishable,Standard
West Ericamouth,Hallfurt,26208,235544,1,Low,Dairy,1000,Health,Normal,Perishable,Medium
Christopherborough,New Michael,87179,399891,2,High,Dry Goods,295,Weather,Summer,Non-Perishable,Standard
West Crystal,Dennisfort,25843,458303,4,Medium,Canned Goods,520,None,Summer,Non-Perishable,Standard
Markville,Calvinton,40251,325368,6,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Dukeland,Arnoldbury,98957,649569,6,Medium,Canned Goods,1000,Health,Normal,Non-Perishable,Standard
Riceport,Fischermouth,78330,334635,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Edwardsland,South Vanessamouth,63528,471972,3,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
Lake Amanda,Shortborough,45769,384007,6,Low,Canned Goods,1000,Health,Normal,Non-Perishable,High
Jacksonton,New Sandra,53523,425405,4,Low,Meat/Poultry,1000,None,Summer,Perishable,High
East Eric,Patrickbury,30886,525677,4,Low,Fresh Produce,1000,None,Holiday,Perishable,High
North Stephanie,Fisherberg,12131,324340,2,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
South Nicholasland,West Charlesmouth,24475,407893,4,High,Dairy,1000,Weather,Normal,Perishable,Standard
Lake James,South Annview,35796,626698,5,Medium,Dairy,1000,None,Normal,Perishable,Standard
Garzahaven,Lake Caitlin,65321,677725,6,Medium,Dairy,1000,Health,Summer,Perishable,Standard
North Angelaburgh,Port Christine,40449,262254,6,Medium,Dry Goods,588,Economic,BackToSchool,Non-Perishable,Standard
North Lauraberg,Marshborough,05490,773398,2,Low,Fresh Produce,1000,Health,Summer,Perishable,Medium
Wiseport,Lake Chad,79927,583826,1,High,Canned Goods,382,None,Normal,Non-Perishable,Standard
South Laurentown,Durhamville,11965,605869,4,Low,Canned Goods,1000,None,Holiday,Non-Perishable,High
South Tara,North Jenniferside,76980,908498,6,Low,Meat/Poultry,1000,None,Normal,Perishable,High
Maryborough,Michaelchester,87246,581726,3,High,Fresh Produce,1000,None,BackToSchool,Perishable,Standard
Taraview,Steinberg,13934,904814,4,Low,Dry Goods,1000,None,BackToSchool,Non-Perishable,High
Kington,Port Jennifer,31252,555384,1,Low,Canned Goods,1000,None,Holiday,Non-Perishable,Medium
Nicholasport,West Hannahmouth,88315,301592,2,Low,Dairy,1000,None,Normal,Perishable,Medium
West Jessicaport,Harrisstad,77228,319672,4,Low,Fresh Produce,1000,None,Summer,Perishable,High
Heidiview,Davisburgh,39779,733305,1,High,Fresh Produce,719,None,Normal,Perishable,Standard
East Brittanyburgh,North Patrick,75295,362840,6,Medium,Canned Goods,1000,Health,Normal,Non-Perishable,Standard
South Matthewburgh,West Jonberg,59599,426353,2,Medium,Dry Goods,1000,Health,Normal,Non-Perishable,Standard
East Madisonbury,Lake Brittanyhaven,52149,721160,5,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Williamland,Douglasmouth,36363,531450,3,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
Websterville,Edwardmouth,73856,939872,5,Low,Canned Goods,1000,None,Summer,Non-Perishable,High
East Stephanie,North Sonia,42991,352281,2,Low,Canned Goods,368,Health,Normal,Non-Perishable,Medium
Davidsonmouth,North Toniberg,90484,509943,5,Medium,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
Hamiltonland,Katiestad,82725,336854,2,Low,Fresh Produce,1000,None,BackToSchool,Perishable,Medium
Whitebury,Camposland,69339,484121,4,Medium,Canned Goods,764,None,Normal,Non-Perishable,Standard
West Mark,Milesside,34615,917573,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
South Mike,Whitestad,63134,286793,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Jamesville,North Zacharyborough,05516,364782,3,Low,Meat/Poultry,1000,Weather,BackToSchool,Perishable,Medium
Lake Karenfort,Suzannechester,68800,926003,3,Low,Canned Goods,1000,Health,Normal,Non-Perishable,Medium
Lindseyview,Stephaniefort,84304,737370,4,High,Fresh Produce,1000,None,Holiday,Perishable,Standard
Alfredhaven,South Paulshire,80500,625835,1,Low,Canned Goods,1000,None,Holiday,Non-Perishable,Medium
North Donald,Petersonburgh,06685,256454,5,Medium,Canned Goods,1000,Economic,Normal,Non-Perishable,Standard
Hartview,Brownfort,45351,836557,5,Medium,Dairy,1000,Economic,BackToSchool,Perishable,Standard
New Susan,Amandafurt,11464,530495,6,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Gregoryview,West Patriciatown,02597,424137,5,Low,Fresh Produce,1000,None,Holiday,Perishable,High
Cynthiaberg,Lake Clayton,14852,992000,5,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Royville,Lopezview,83662,758165,1,Low,Meat/Poultry,1000,Weather,Normal,Perishable,Medium
Jasontown,Clarkton,80407,967458,5,Medium,Canned Goods,1000,Economic,Holiday,Non-Perishable,Standard
South Joseph,North Ashleyland,44683,333797,3,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Michaelview,Snyderville,14538,212385,1,Low,Fresh Produce,162,None,Normal,Perishable,Medium
Lake Nicholas,Jesseshire,60692,454982,2,High,Dry Goods,293,None,Normal,Non-Perishable,Standard
Port Lisa,New Deborahside,95011,504299,6,Medium,Meat/Poultry,1000,Health,Summer,Perishable,Standard
Ashleyhaven,West Barbara,23729,481746,5,Medium,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
Lake Danielbury,North Seanland,97532,405359,6,High,Canned Goods,1000,Weather,Summer,Non-Perishable,Standard
East John,North Leslie,32385,552916,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Schultzstad,East Deanna,98332,969285,4,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Smithside,New Jennifer,39407,264175,4,High,Dairy,974,None,Normal,Perishable,Standard
West Jessicaberg,Curtisfurt,76941,689458,5,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Lake Scottshire,New Kaitlyn,74929,842263,5,Medium,Dry Goods,187,Weather,Summer,Non-Perishable,Standard
East Daniel,Lake Jamieside,05968,430335,4,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
Port Joseberg,Williamsfort,03163,526263,3,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
Foleytown,Port Williamstad,43365,397694,2,High,Dry Goods,1000,None,Summer,Non-Perishable,Standard
Danielmouth,Jonesville,22135,828442,2,High,Fresh Produce,1000,Economic,Normal,Perishable,Standard
West Georgeberg,Davisfort,08213,830102,3,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
East Laurenton,East Lauren,98238,249456,3,Low,Dry Goods,103,None,Holiday,Non-Perishable,Medium
Nelsonville,Davistown,86861,670071,1,High,Dry Goods,1000,Economic,Summer,Non-Perishable,Standard
East Stevenfort,Alvaradochester,03063,241682,1,High,Fresh Produce,116,None,Normal,Perishable,Standard
Tateland,New Kimberly,32349,832919,1,Low,Fresh Produce,1000,None,Normal,Perishable,Medium
South Jerry,West Tyler,77120,805841,3,Medium,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
North Davidmouth,North Sierraland,71105,419027,6,High,Fresh Produce,1000,Weather,Normal,Perishable,Standard
Greenfort,Port Michael,22159,929148,6,Medium,Fresh Produce,1000,None,Holiday,Perishable,Standard
Washingtonburgh,Lake Charlesport,70607,764406,6,Medium,Canned Goods,473,None,Holiday,Non-Perishable,Standard
Paulaland,Ravenborough,84796,288557,3,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Gabrielleland,South Ericbury,42533,805714,4,High,Dry Goods,523,None,Normal,Non-Perishable,Standard
Floresstad,New Jesusland,71287,270660,4,Low,Dry Goods,1000,None,Summer,Non-Perishable,High
Richardbury,East Kevin,00554,412660,5,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Andersonton,Pagehaven,06687,261978,6,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Williamsburgh,Reynoldsport,54778,746741,5,Low,Meat/Poultry,1000,Economic,Holiday,Perishable,High
Tannerborough,Brennanberg,84597,749083,2,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Tonyburgh,Port Thomas,97872,844714,2,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Greenland,South Keith,38465,420530,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Port David,Rebeccaburgh,52134,594112,4,Medium,Canned Goods,1000,Health,Normal,Non-Perishable,Standard
Nicolechester,North Marciahaven,09007,623913,1,Low,Fresh Produce,1000,None,Normal,Perishable,Medium
New Josephfurt,Christinahaven,30955,771762,6,Low,Meat/Poultry,220,None,Normal,Perishable,High
New Deannamouth,Lake Edward,82430,854176,4,Low,Fresh Produce,1000,Health,Normal,Perishable,High
South Stephanieland,New Kenneth,49144,741827,1,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Susanview,Kirkview,69126,740495,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
East Shelley,New Lisatown,92461,692905,4,High,Dry Goods,267,Economic,Holiday,Non-Perishable,Standard
Edwardshire,Stephanieport,32904,437819,4,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
West Larryburgh,Lake Gina,95990,881208,3,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Petersonmouth,Margaretfurt,10239,805729,2,Medium,Meat/Poultry,297,None,Normal,Perishable,Standard
Christensenchester,North Robinchester,36222,695750,4,Low,Dairy,1000,None,Normal,Perishable,High
North Kelly,North Williammouth,58452,226956,4,High,Canned Goods,163,None,Summer,Non-Perishable,Standard
South Elizabeth,East Keith,87926,542051,5,Low,Meat/Poultry,1000,Health,Normal,Perishable,High
Madisonhaven,North Kylie,40991,922026,1,Low,Canned Goods,1000,Weather,Normal,Non-Perishable,Medium
Nelsonland,Cookstad,63034,972443,1,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Lake Meganside,Alvarezview,00543,895038,3,Low,Canned Goods,1000,None,Summer,Non-Perishable,Medium
Morganhaven,West Kimberlystad,66387,857500,1,Medium,Dry Goods,1000,Weather,Normal,Non-Perishable,Standard
Tiffanytown,New Joseph,65352,529423,5,Low,Dry Goods,1000,None,Summer,Non-Perishable,High
Lake Joshuabury,Waynebury,05046,413065,6,Low,Canned Goods,1000,None,Summer,Non-Perishable,High
New Jonathan,Carterport,79219,986651,2,Low,Canned Goods,1000,None,Holiday,Non-Perishable,Medium
Arnoldshire,Theresaside,40909,771149,3,High,Canned Goods,1000,Weather,Normal,Non-Perishable,Standard
Kimberlyburgh,North Amandabury,52743,768856,4,High,Meat/Poultry,740,None,BackToSchool,Perishable,Standard
Hallport,Williamland,17561,668778,1,Low,Dairy,1000,None,Normal,Perishable,Medium
North James,South Annachester,20339,674676,1,Low,Dairy,1000,Economic,Normal,Perishable,Medium
Brocktown,Leonardberg,15700,876046,5,Medium,Fresh Produce,1000,Weather,BackToSchool,Perishable,Standard
Davisstad,West Jeffreyton,48987,517040,6,Low,Dry Goods,705,Health,Normal,Non-Perishable,High
Johnborough,Brianaview,89040,481817,6,Medium,Canned Goods,1000,None,BackToSchool,Non-Perishable,Standard
Juanview,Stewartside,78123,471799,6,Medium,Fresh Produce,1000,Weather,Summer,Perishable,Standard
Martinville,Davidton,90629,234899,4,High,Dry Goods,939,None,Normal,Non-Perishable,Standard
Matthewchester,Ashleyville,03518,912906,1,High,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Colemanstad,Murphytown,40724,280960,3,Medium,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
Patrickview,Port Tina,51757,847340,2,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
South Rebecca,Lake Shannonside,07673,708816,6,Medium,Dairy,1000,None,Holiday,Perishable,Standard
South David,North Gabriela,99466,782457,5,Medium,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
Lake Heatherside,New Meganfurt,80080,752868,1,High,Fresh Produce,1000,None,Normal,Perishable,Standard
North Vincentshire,New Patrick,46195,280245,6,Low,Fresh Produce,1000,Economic,Normal,Perishable,High
West Stephanie,West Lauren,96028,775604,5,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
North Christian,Dorothyfort,25554,995134,2,High,Dairy,409,None,Normal,Perishable,Standard
South Lauraside,Thompsonland,83006,654611,4,Low,Fresh Produce,1000,None,Summer,Perishable,High
North Tyler,Port Taylor,99899,515785,6,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
Timothyberg,South Holly,02306,551930,5,Low,Meat/Poultry,1000,Health,Normal,Perishable,High
South Gordonburgh,North Daniel,35277,285881,2,High,Meat/Poultry,28,None,Normal,Perishable,Standard
Lake Robertton,Emilyville,30629,598957,2,Medium,Meat/Poultry,296,None,Summer,Perishable,Standard
South Ralphmouth,Lake Kathleenshire,50123,498960,5,Low,Fresh Produce,1000,None,Holiday,Perishable,High
New Deniseport,South Jesse,68122,311421,2,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
West Michaeltown,South Jerry,70581,824229,6,Low,Fresh Produce,867,None,Normal,Perishable,High
Stevenport,New Michellefort,67377,966907,6,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
East Dawn,South Joshua,65768,226591,2,Medium,Dry Goods,939,Economic,Summer,Non-Perishable,Standard
Port Patricia,Moorestad,78634,226178,5,Low,Canned Goods,850,None,Normal,Non-Perishable,High
North Abigail,Lake Mariashire,91483,232532,4,Medium,Dairy,835,None,Normal,Perishable,Standard
Rachelville,West Dana,64329,231429,2,Medium,Canned Goods,196,Health,Normal,Non-Perishable,Standard
Port Kelly,Lawrencefurt,61715,226902,5,Medium,Dairy,104,None,Holiday,Perishable,Standard
East Juliafort,East Carlaberg,74275,276364,4,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
New Kevin,Mckayton,11953,690013,4,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
Lake Tonybury,Erikaview,38844,793459,3,Medium,Fresh Produce,1000,Weather,Normal,Perishable,Standard
East Craigstad,Melissaport,71456,818647,4,High,Fresh Produce,1000,None,Holiday,Perishable,Standard
Wendyburgh,Port Travis,24940,367300,6,Medium,Dry Goods,256,None,BackToSchool,Non-Perishable,Standard
Alishastad,West William,69116,851865,3,Medium,Dry Goods,1000,Health,Holiday,Non-Perishable,Standard
Henrytown,Mirandaport,08019,664472,6,Medium,Fresh Produce,1000,Weather,Normal,Perishable,Standard
Callahanberg,Brandonchester,44327,999987,2,Low,Dry Goods,1000,Economic,Holiday,Non-Perishable,Medium
Lake Joanland,Mcdonaldchester,97677,678922,6,Low,Fresh Produce,1000,None,Normal,Perishable,High
Pamelatown,Jamesmouth,27830,622749,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
South Matthew,South Jillian,99761,573066,6,Low,Meat/Poultry,1000,Economic,Normal,Perishable,High
Blakechester,East Wendy,78099,678036,6,Low,Dry Goods,1000,Weather,Normal,Non-Perishable,High
Faulknershire,Johnsonhaven,07897,822098,6,Low,Canned Goods,1000,Weather,Normal,Non-Perishable,High
West Derrick,New Melanieside,00998,947108,3,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
North Jeffrey,Port Davidchester,87192,416676,6,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
South Travisberg,Martinmouth,63034,463872,1,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Beckborough,Christopherborough,70631,941641,1,Low,Canned Goods,850,None,Normal,Non-Perishable,Medium
East Cherylberg,Hardychester,73024,976198,3,Medium,Fresh Produce,1000,Weather,Normal,Perishable,Standard
West David,Lake Steven,00966,966086,1,Medium,Dairy,1000,Economic,Summer,Perishable,Standard
Castromouth,Dariusshire,42004,999128,6,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Andrewberg,North Rebecca,32383,643025,4,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
Rojasfurt,North Nathan,68303,393790,1,Low,Canned Goods,638,None,Summer,Non-Perishable,Medium
New Robertborough,North Danielchester,43453,693085,5,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Peterland,Paulberg,93310,916643,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
New Tracy,Jacksonmouth,18581,523069,4,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Simmonsfurt,Valeriemouth,41651,552179,2,Low,Canned Goods,1000,None,Summer,Non-Perishable,Medium
Matthewstad,New Alexandra,90300,622177,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Gutierrezburgh,Kaylatown,13515,844861,1,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Michelleborough,West Dannyburgh,61332,325894,2,Medium,Meat/Poultry,1000,None,Holiday,Perishable,Standard
Camposport,Karenstad,62529,384633,6,Medium,Dairy,1000,None,Holiday,Perishable,Standard
Elizabethland,Nataliefort,50376,345564,3,High,Fresh Produce,728,None,Normal,Perishable,Standard
South Jamesshire,Dickersontown,66249,496819,1,Medium,Dairy,1000,None,Normal,Perishable,Standard
Shanefurt,East Wendyton,48189,484339,1,High,Fresh Produce,147,None,Summer,Perishable,Standard
Jonesfurt,North Jenniferport,40547,475816,4,Low,Dry Goods,1000,Health,Holiday,Non-Perishable,High
Davisfort,South Andreview,11173,240685,2,Low,Dairy,1000,None,Normal,Perishable,Medium
Jaredborough,Lake Josephside,67964,502304,2,Medium,Dairy,1000,None,Normal,Perishable,Standard
Cameronborough,North Gregoryland,14570,282582,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Port Angelabury,West Phyllisville,51395,627310,6,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Jamesville,Christopherchester,85184,831212,6,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Morganfort,Kristinefurt,35832,776190,5,Low,Dry Goods,1000,None,Summer,Non-Perishable,High
Shawnshire,Joefurt,32068,634468,3,High,Dairy,1000,None,Normal,Perishable,Standard
West Gary,New Richard,16113,275371,2,High,Dairy,305,None,Normal,Perishable,Standard
Lawrenceview,Port Jamestown,40876,400160,3,Medium,Canned Goods,955,None,Summer,Non-Perishable,Standard
Lake Ronald,Christopherfurt,39098,261817,1,High,Canned Goods,953,None,BackToSchool,Non-Perishable,Standard
Brandyborough,East Jamesbury,92443,563328,6,Medium,Canned Goods,1000,Economic,Normal,Non-Perishable,Standard
Mcfarlandbury,Whiteheadland,48566,935498,4,Medium,Fresh Produce,1000,None,Holiday,Perishable,Standard
East Kelly,Mendozachester,31799,974732,5,Low,Dairy,1000,None,BackToSchool,Perishable,High
New Christineburgh,West Thomasmouth,94250,643782,6,Medium,Dry Goods,1000,Economic,Summer,Non-Perishable,Standard
North Timothy,Port Colleen,27148,373396,5,Low,Dairy,1000,None,Normal,Perishable,High
Goldenburgh,New Helenhaven,64386,322460,4,Low,Meat/Poultry,486,None,BackToSchool,Perishable,High
West Jesseshire,Lake Jessica,02076,496199,4,Medium,Canned Goods,1000,None,BackToSchool,Non-Perishable,Standard
North Heather,North Adam,97924,679492,6,Low,Dairy,1000,Health,Summer,Perishable,High
Port Nicoleton,South John,11833,553419,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
